latitude, longitude, provider, output
 55.75, 37.62 ,photon,frame
 53.71, 91.69 ,photon,frame
 50.06, 43.24 ,photon,frame
 45.13, 42.03 ,photon,frame
 52.9, 40.49 ,photon,frame
 68.98, 33.09 ,photon,frame
 55.58, 42.04 ,photon,frame
 55.91, 37.73 ,photon,frame
 55.73, 52.41 ,photon,frame
 56.01, 90.4 ,photon,frame
 43.23, 44.77 ,photon,frame
 43.5, 43.62 ,photon,frame
 55.39, 36.73 ,photon,frame
 67.64, 53 ,photon,frame
 42.81, 132.87 ,photon,frame
 44.63, 41.94 ,photon,frame
 56.67, 124.64 ,photon,frame
 56.09, 54.27 ,photon,frame
 61.1, 72.6 ,photon,frame
 60.93, 76.55 ,photon,frame
 55.64, 51.82 ,photon,frame
 56.33, 44 ,photon,frame
 57.92, 59.97 ,photon,frame
 55.65, 37.34 ,photon,frame
 53.39, 83.94 ,photon,frame
 53.76, 87.11 ,photon,frame
 53.1, 49.95 ,photon,frame
 54.01, 38.28 ,photon,frame
 44.72, 37.77 ,photon,frame
 55.04, 82.93 ,photon,frame
 51.2, 58.33 ,photon,frame
 57.24, 60.08 ,photon,frame
 56.11, 47.48 ,photon,frame
 47.42, 40.09 ,photon,frame
 47.76, 39.93 ,photon,frame
 66.08, 76.63 ,photon,frame
 55.87, 38.44 ,photon,frame
 69.35, 88.2 ,photon,frame
 63.19, 75.44 ,photon,frame
 62.14, 65.39 ,photon,frame
 55.1, 36.61 ,photon,frame
 55.68, 37.28 ,photon,frame
 55.76, 60.7 ,photon,frame
 54.48, 53.47 ,photon,frame
 54.99, 73.37 ,photon,frame
 52.97, 36.08 ,photon,frame
 51.77, 55.1 ,photon,frame
 55.81, 38.96 ,photon,frame
 51.2, 58.57 ,photon,frame
 53.38, 51.35 ,photon,frame
 55.78, 38.65 ,photon,frame
 53.2, 45 ,photon,frame
 56.91, 59.94 ,photon,frame
 58.01, 56.25 ,photon,frame
 59.88, 29.9 ,photon,frame
 61.78, 34.35 ,photon,frame
 53.04, 158.65 ,photon,frame
 55.42, 37.55 ,photon,frame
 56.44, 60.19 ,photon,frame
 53.91, 86.72 ,photon,frame
 43.76, 44.03 ,photon,frame
 57.81, 28.35 ,photon,frame
 59.71, 30.4 ,photon,frame
 56.02, 37.87 ,photon,frame
 44.05, 43.06 ,photon,frame
 55.57, 38.23 ,photon,frame
 56.8, 59.93 ,photon,frame
 55.76, 37.86 ,photon,frame
 56.26, 34.33 ,photon,frame
 53.95, 32.86 ,photon,frame
 51.12, 38.51 ,photon,frame
 50.2, 39.57 ,photon,frame
 47.23, 39.72 ,photon,frame
 51.51, 81.21 ,photon,frame
 58.04, 38.84 ,photon,frame
 54.63, 39.69 ,photon,frame
 53.38, 55.91 ,photon,frame
 66.53, 66.6 ,photon,frame
 46.47, 41.54 ,photon,frame
 53.2, 50.15 ,photon,frame
 59.94, 30.31 ,photon,frame
 54.18, 45.17 ,photon,frame
 56.48, 53.8 ,photon,frame
 51.54, 46.01 ,photon,frame
 54.94, 43.32 ,photon,frame
 51.38, 128.14 ,photon,frame
 64.56, 39.83 ,photon,frame
 69.07, 33.42 ,photon,frame
 56.6, 84.89 ,photon,frame
 56.3, 38.13 ,photon,frame
 59.6, 60.58 ,photon,frame
 54.92, 37.41 ,photon,frame
 52.72, 58.67 ,photon,frame
 45.26, 38.13 ,photon,frame
 54.78, 32.04 ,photon,frame
 56.09, 60.73 ,photon,frame
 59.63, 56.77 ,photon,frame
 56.18, 36.98 ,photon,frame
 59.9, 29.09 ,photon,frame
 43.6, 39.73 ,photon,frame
 45.04, 41.97 ,photon,frame
 51.3, 37.84 ,photon,frame
 53.62, 55.95 ,photon,frame
 54.9, 38.07 ,photon,frame
 43.32, 45.05 ,photon,frame
 61.25, 73.42 ,photon,frame
 53.16, 48.47 ,photon,frame
 61.68, 50.81 ,photon,frame
 47.24, 38.9 ,photon,frame
 69.49, 88.4 ,photon,frame
 52.73, 41.44 ,photon,frame
 56.86, 35.9 ,photon,frame
 45.62, 38.95 ,photon,frame
 59.65, 33.53 ,photon,frame
 45.85, 40.13 ,photon,frame
 58.2, 68.25 ,photon,frame
 53.53, 49.35 ,photon,frame
 56.5, 84.97 ,photon,frame
 54.1, 61.58 ,photon,frame
 44.11, 39.08 ,photon,frame
 54.61, 53.71 ,photon,frame
 54.2, 37.62 ,photon,frame
 54.56, 100.58 ,photon,frame
 57.15, 65.53 ,photon,frame
 53.98, 38.17 ,photon,frame
 51.83, 107.61 ,photon,frame
 54.33, 48.39 ,photon,frame
 52.75, 103.65 ,photon,frame
 43.8, 131.95 ,photon,frame
 58, 102.66 ,photon,frame
 54.74, 55.97 ,photon,frame
 63.57, 53.68 ,photon,frame
 55.73, 38.46 ,photon,frame
 55.96, 38.05 ,photon,frame
 48.48, 135.08 ,photon,frame
 61, 69 ,photon,frame
 43.25, 46.59 ,photon,frame
 55.9, 37.43 ,photon,frame
 56.77, 54.11 ,photon,frame
 52.98, 49.71 ,photon,frame
 56.13, 47.25 ,photon,frame
 55.15, 61.43 ,photon,frame
 55.66, 37.56 ,photon,frame
 53.16, 103.07 ,photon,frame
 59.13, 37.9 ,photon,frame
 44.22, 42.06 ,photon,frame
 53.82, 91.28 ,photon,frame
 55.15, 37.48 ,photon,frame
 55.36, 50.64 ,photon,frame
 52.03, 113.5 ,photon,frame
 58.3, 57.81 ,photon,frame
 56.09, 63.63 ,photon,frame
